irn,DesLabel0(+ group='1'),DesDescription0(+ group='1'),DesBiblioRef0(+ group='1').irn,DesLabel0(+ group='2'),DesDescription0(+ group='2'),DesBiblioRef0(+ group='2').irn,DesLabel0(+ group='3'),DesDescription0(+ group='3'),DesBiblioRef0(+ group='3').irn,DesLabel0(+ group='4'),DesDescription0(+ group='4'),DesBiblioRef0(+ group='4').irn,DesLabel0(+ group='5'),DesDescription0(+ group='5'),DesBiblioRef0(+ group='5').irn,DesLabel0(+ group='6'),DesDescription0(+ group='6'),DesBiblioRef0(+ group='6').irn,DesLabel0(+ group='7'),DesDescription0(+ group='7'),DesBiblioRef0(+ group='7').irn
312652,Type Description,"
Handb. Naturgesch., 5th ed., p. 125
",41852,Description,This familiar animal is recognized by the trunk and tusks (which are actually upper incisors).,41852,Type Locality,"
Restricted to the Orange River, South Africa by Pohle (1926; see Allen, 1939).
",41852,Distribution,"Found in all vegetation types, Loxodonta africana has a fragmented distribution with isolated areas from Senegal to Ethiopia and Somalia down to Angola, Zambia, Zimbabwe and Mozambique with two isolated patches in the southern Cape in South Africa. (Kingdon, 1997)Key Reference:1. Kingdon, J. 1989. East African mammals: An atlas of evolution in Africa. (Large Mammals). University of Chicago Press, Chicago, 3B:30-75.2. Kingdon, J. 1997. The Kingdon field guide to African mammals, AP Natural World Academic Press, Harcourt Brace & Company, San Diego, p. 305.3. Nowak, R. M. 1999. Walker's Mammals of the World. Sixth ed. Johns Hopkins University Press, Baltimore, 2:993-994, 998-1004.
 
",41852,Measurements, Tail length: 1000-1500 mmWeight: 2400-6300 kg,41852,,,,,,
311689,Type Description,"
Linne's Vollstand. Natursyst. Suppl., p. 21
",41852,Description,The dugong is a resident of the mouths of rivers or bays along the coast.,41852,Type Locality,"
Cape of Good Hope to the Philippines.
",41852,Distribution,"The dugong resides near the mouth of large rivers and the sheltered bays and sandbanks near islands off the East African coast. Although, you may see Dugongs along any point of the coastline, they prefer the shelter of the narrow width of the continental shelf. Natural factors, like the presence of sandbanks where their main food source of plants can be found, determine their distribution patterns as well. (Kingdon 1984)Key Reference:1. Kingdon, J. 1984. East African mammals: An atlas of evolution in Africa. University of Chicago Press, Chicago, 1:390-399.2. Nowak, R. M. 1999. Walker's Mammals of the World. Sixth ed. Johns Hopkins University Press, Baltimore, 2:983-986.
 
",41852,Measurements, Total length: 2500-4006 mmWeight: 360-1016 kg,41852,,,,,,
310949,Type Description,"
In Else and Lee (eds.), Primate Ecology and Conservation, p.338
",41852,Description,"Sanje Mangabey occurs in an isolated population throughout the forests of the Udzungwa Mountains.  To date, there has been no account of the species based on a holotype or other specimens.  While such a publication is necessary to formally recognize the species, there is an immediate need for the conservation of this restricted population of primates.",41852,Type Locality,"
Tanzania, Mwanihana Forest, Sanje Waterfall.
",41852,Distribution,"Restricted within the valley forests on the eastern flanks of the Udzungwa Mountains from 400-1,230 m, Cercocebus sanjei is found in several forest and woodland types but prefers the low riverine galleries. (Kingdon, 1997)Key Reference:1. Kingdon, J. 1997. The Kingdon field guide to African mammals, AP Natural World Academic Press, Harcourt Brace & Company, San Diego, p. 42-46.2. Nowak, R. M. 1999. Walker's Mammals of the World. Sixth ed. Johns Hopkins University Press, Baltimore, 1:569.
 
",41852,Measurements, Head and body: 500-650 mmTail length: 550-650 mmWeight: 7-9 kg,41852,,,,,,
310951,Type Description,"
Proc. Committee Sci. Correspondance Zool. Soc. Lond., 1:106
",41852,Type Locality,"
Angola.
",41852,Distribution,"Cercopithecus albogularis is distributed throughout the riverine basin of the Indian Ocean from sea-level up to 3,300 m from the Eastern Rift Wall to the east coastline from Somalia down to the Cape Province in South Africa and also in the upper reaches of the Congo Basin. This species is found in a variety of evergreen forest types including riverine, delta, gallery, secondary, primary, montane, and bamboo. (Kingdon, 1984, 1997)",41852,Measurements, Total length: 1070-1520 mmHead and body: 440-670 mmTail length: 630-850 mmWeight: 6-12 kg,41852,,,,,,,,,
310957,Type Description,"
Proc. Zool. Soc. Lond., 1907:691
",41852,Type Locality,"
Uganda: SW Ankole.
",41852,Distribution,"Cercopithecus doggetti is found in a variety of evergreen forest types including riverine, delta, gallery, secondary, primary, montane, and bamboo forests.  C. doggetti has isolated populations that are within the Western Rift Valley from the Dem. Rep. of Congo west of Lake Tanganyika to northwest Tanzania up through southern Uganda.  (Kingdon, 1984, 1997)",41852,Measurements, Total length: 1070-1520 mmHead and body: 440-670 mmTail length: 630-850 mmWeight: 6-12 kg,41852,,,,,,,,,
310965,Type Description,"
Abbild. Beschreib. Merkw. Naturgesch. Gegenstandes, 2:145
",41852,Type Locality,"
Angola.
",41852,Distribution,"Cercopithecus mitis is widely distributed yet separated throughout central Africa, from east Congo to Ethiopia and East Africa to the Great Rift Valley and a small area along the riverine valley in northern Angola where it is found from sea-level up to 3,300 m in a variety of evergreen forest types including riverine, delta, gallery, secondary, primary, montane, and bamboo. (Kingdon, 1984, 1997)",41852,Measurements, Total length: 1070-1520 mmHead and body: 440-670 mmTail length: 630-850 mmWeight: 6-12 kg,41852,,,,,,,,,
311082,Type Description,"
Hist. Nat. Mamm., 24:2
",41852,Type Locality,"
Africa.
",41852,Distribution,"Found in a wide variety of vegetation types including woodlands, savannas, riverine, galleries and lake-shore forests, Chlorocebus pygerythrus, is distributed over half the African continent straddling the equator from Ethiopia and Somalia down to South Africa and west to Angola to Gabon reaching altitudes up to 3,000 m. (Kingdon, 1984, 1997)",41852,Measurements, Head and body: 380-650 mmTail length: 480-750 mmWeight: 3.5-8 g kg,41852,,,,,,,,,
311130,Type Description,"
Proc. Zool. Soc. Lond., 1860:245
",41852,Description,This species is recognizable by the long black and white hair flowing from the body.  The complex stomach of these animals allows the consumption of plant material that other animals cannot tolerate.  The lack of a thumb is a characteristic of the genus.,41852,Type Locality,"
Angola, 300 mi. (483 km) inland from Bembe.
",41852,Distribution,"Concentrated in the lowland and montane forests at elevations from up to 3,000 m, Colobus angolensis is distributed throughout the Dem. Rep. of Congo and scattered through Uganda and east and south Tanzania. (Kingdon, 1984, 1997)",41852,Measurements, Total length: 1220-1660 mmHead and body: 600-750 mmTail length: 740-830 mmWeight: 13-23 kg,41852,,,,,,
311131,Type Description,"
Neue Wirbelt. Fauna Abyssin. Gehorig. Saugeth., p. 1
",41852,Description,This species is recognizable by the long black and white hair flowing from the body.  The complex stomach of these animals allows the consumption of plant material that other animals cannot tolerate.  The lack of a thumb is a characteristic of the genus.,41852,Type Locality,"
Ethiopia, Gojjam and Kulla.
",41852,Distribution,"Ranging from lowland tropical rainforests, upper regions of montane forests, riverine galleries and evergreen thicket forests, Colobus guereza, has a scattered distribution from the Cameroons and Gabon to Ethiopia and northern Tanzania. (Kingdon, 1984, 1997)",41852,Measurements, Total length: 1220-1660 mmHead and body: 600-750 mmTail length: 740-830 mmWeight: 13-23 kg,41852,,,,,,
311834,Type Description,"
Die Saugethiere, 1:98
",41852,Description,There is an isolated population in the Serengeti ecosystem.  This monkey has long slender white limbs and a reddish brown back.,41852,Type Locality,"
Senegal
",41852,Distribution,"Erythrocebus patas ranges from the open grasslands of savannahs to the dry woodlands and wooded steppes south of the Sahara from Senegal to Somalia down to northeast Tanzania. (Kingdon, 1984, 1997)",41852,Measurements, Head and body: 485-875Tail length: 540-740Weight: 7-25 kg,41852,,,,,,
313916,Type Description,"
Man. Mamm., p. 27
",41852,Description,The relationships among different species of baboon are still unclear.,41852,Type Locality,"
Upper Nile.
",41852,Distribution,"Papio anubis is distributed throughout woodland and forest-mosaic habitats ranging from Mauritania in the west to Sudan and Kenya in the east and south into the Dem. Rep of Congo and northern Tanzania.  (Kingdon, 1984, 1997)",41852,Measurements, Head and body: 500-1140 mmTail length: 450-710 mmWeight: 11-50 kg,41852,,,,,,
313918,Type Description,"
Linnaeus, C. 1766-1768. Systema naturae per regna tria naturae, secundum classes, ordines, genera, species, cum characteribus, differentiis synonymis, locis. Vol. 1. Regnum Animale. pt. 1, pp. 1-532 [1766]; vol. 3, Appendix pp. 223-235 [1768]. 12th ed. [Vol. 3, Regnum Lapideum, pp. 1-222, rejected for nomenclatural purposes, ICZN, opinion 296]. Laurentii Salvii, Stockholm, 3 vols.
",41852,Description,The relationships among different species of baboon are still unclear.,41852,Type Locality,"
Kenya, inland from Mombasa.
",41852,Distribution,"Distributed from Angola to Mozambique and Tanzania and up into Somalia, Papio cynocephalus is found in a variety of habitats including woodland, dry bushland, thickets, steppes, and coastal littorals. (Kingdon, 1984, 1997)",41852,Measurements, Head and body: 508-1143 mmTail length: 456-711 mmWeight: 11-50 kg,41852,,,,,,
314201,Type Description,"
Sitzb. Ges. Naturf. Fr. Berlin, p. 186
",41852,Type Locality,"
Tanzania, Uzungwa Mtns.
",41852,Distribution,"Piliocolobus gordonorum is restricted to an isolated area near Iringa in a few small forests on the Udzungwa Mountains from 550-6,000 m, where it can be found in riverine and montane forest patches. (Kingdon, 1984, 1997)",41852,Measurements, Total length: 1270-1370 mmHead and body: 485-670 mmTail length: 600-730 mmWeight: 7-12.5 kg,41852,,,,,,,,,
314202,Type Description,"
Proc. Zool. Soc. Lond., 1868:180
",41852,Type Locality,"
Tanzania, Zanzibar.
",41852,Distribution,"Piliocolobus kirkii is found in relict patches and scrub forests only on Unguja Island (Zanzibar) with a small translocated population on Pemba Island. (Kingdon, 1984, 1997)Key Reference:1. Kingdon, J. 1984. East African mammals: An atlas of evolution in Africa. University of Chicago Press, Chicago, 1:149-150, 155-161.Kingdon, J. 1997. The Kingdon field guide to African mammals, AP Natural World Academic Press, Harcourt Brace & Company, San Diego, p. 21-22.Nowak, R. M. 1999. Walker's Mammals of the World. Sixth ed. Johns Hopkins University Press, Baltimore, 1:569, 606-607.
 
",41852,Measurements, Total length: 1270-1370 mmHead and body: 485-670 mmTail length: 600-730 mmWeight: 7-12.5 kg,41852,,,,,,,,,
314206,Type Description,"
Elliot, D. G. 1907. Descriptions of apparently new species and subspecies of mammals belonging to the families Lemuridae, Cebidae, Callitrichidae, and Cercopithecidae in the collection of the Natural History Museum. Annals and Magazine of Natural History, ser. 7, 20:185-196.
",41852,Type Locality,"
Uganda, Toro, Ruahara River, east side of Ruwenzoris.
",41852,Distribution,"Piliocolobus tephrosceles has a wide yet scattered distribution from Uganda down to Tanzania east of the Rift Valley. This species ranges in many forest types from levee, swamp, lowland and mixed to montane forests up to 2,500 m. (Kingdon, 1984, 1997)",41852,Measurements, Total length: 1270-1370 mmHead and body: 485-670 mmTail length: 600-730 mmWeight: 7-12.5 kg,41852,,,,,,,,,
240843,Type Description,"
Davenport, Tim R.B., William T. Stanley, Eric J. Sargis, Daniela W. De Luca, Noah E. Mpunga, Sophy J. Machaga, Link Olsen, 2006. A New Genus of African Monkey, Rungwecebus: Morphology, Ecology, and Molecular Phylogenetics, Science, 312:1378-1381.
",41852,Type Locality,"
Rungwe-Livingstone (09°07' to 09°11' S and 33°36' to 33°55'E), Southern Highlands, Tanzania.
",41852,Distribution,"Rungwecebus kipunji is found in pristine submontane forests, degraded and upper montane forests. This new species is only known from two isolated areas in Tanzania, one occurring in the Southern Highlands from 1750 up to 2450 m and the other in the Ndundulu Forest Reserve from 1300 to 1750 m. (Davenport, Stanley, Sargis, De Luca, Mpunga, Machaga and Olsen, 2006)",41852,Measurements, Total length: 850-900 mmHead and body: 370 mmTail length: 499 mmHindfoot length: 128 mmEar length: 35 mmWeight: 10-16 kg,41852,,,,,,,,,
311922,Type Description,"
Proc. Zool. Sco. Lond., 1907:286
",41852,Type Locality,"
Mozambique, Inhambane, Coguno.
",41852,Distribution,"Galago granti is found in forest mosaics, riverine strips and coastal forests along the East African coastline between the Rufiji river and the Zambezi River and into the montane areas of Lake Malawi. (Kingdon, 1984, 1997)Key Reference:1. Kingdon, J. 1984. East African mammals: An atlas of evolution in Africa. University of Chicago Press, Chicago, 1:311-313.2. Kingdon, J. 1997. The Kingdon field guide to African mammals, AP Natural World Academic Press, Harcourt Brace & Company, San Diego, p. 107-108.3. Nowak, R. M. 1999. Walker's Mammals of the World. Sixth ed. Johns Hopkins University Press, Baltimore, 1:493.
 
",41852,Measurements, Head and body: 140-190 mmTail length: 200-265 mmWeight: 139-178 g,41852,,,,,,,,,
311924,Type Description,"
Rept. Exped. Exploring Central Africa, 1834:42 [1836]
",41852,Description,The relationships among the different species of this nocturnal primate group are poorly known.,41852,Type Locality,"
South Africa, Limpopo, Marico-Limpopo confluence.
",41852,Distribution,"Galago moholi inhabits the savannas, bushland, and woodlands up to 2,000 m and ranges from Angola to western Tanzania and Zimbabwe. (Kingdon, 1984, 1997)",41852,Measurements, Head and body: 88-205 mmTail length: 110-280 mmWeight: 95-245 g,41852,,,,,,
311926,Type Description,"
Occas. Pap. Boston Soc. Nat. Hist., 8:259
",41852,Type Locality,"
Tanzania, Uluguru Mtns, Bagilo.
",41852,Distribution,"Galago orinus occurs in the high altitude forests of the Uluguru and Usambara Mountains in Tanzania. (Kingdon, 1984, 1997)",41852,Measurements, Total length: 313-337 mmHead and body: 125-155 mmTail length: 150-215 mmHindfoot length: 50-55 mmEar length: 20-22 mmWeight: 95-120 g,41852,,,,,,,,,
311927,Type Description,"
In Kingdon, Kingdon Field Guide to African Mammals, p. 106
",41852,Type Locality,"
Tanzania, Lindi district, Rondo plateau, Rondo Forest Reserve, 10°07'S, 39°23'E.
",41852,Distribution,"Galago rondoensis is currently known only from patches of remnant forests along the Rondo Plateau. (Kingdon 1984)Key Reference:1. Kingdon, J. 1997. The Kingdon field guide to African mammals, AP Natural World Academic Press, Harcourt Brace & Company, San Diego, p. 106.2. Nowak, R. M. 1999. Walker's Mammals of the World. Sixth ed. Johns Hopkins University Press, Baltimore, 1:493.
 
",41852,Measurements, Head and body: 120 mmTail length: 160 mmWeight: 50 g,41852,,,,,,,,,
311928,Type Description,"
Geoffroy Saint-Hilaire, E. 1796. Mammiferes. Memoire sur les rapports naturels des Makis Lemur. Magazin encycl., 1:20-50.
",41852,Description,The relationships among the different species of this nocturnal primate group are poorly known.,41852,Type Locality,"
Senegal.
",41852,Distribution,"Ranging throughout savannas, bushland, and woodlands up to 2,000 m, Galago senegalensis is distributed from Senegal east to Ethiopia, Kenya and down into Tanzania and Uganda. (Kingdon, 1984, 1997)",41852,Measurements, Head and body: 145-200 mmTail length: 205-303 mmWeight: 108-300 g,41852,,,,,,
